Date,Open,High,Low,Close,Volume,Adj Close
2011-06-29,42.22,43.27,42.17,43.15,1262200,43.15
2011-06-28,41.70,42.14,41.24,41.85,989500,41.85
2011-06-27,41.95,42.33,41.50,41.53,848400,41.53
2011-06-24,42.63,43.83,41.82,41.95,1154600,41.95
2011-06-23,42.65,42.81,41.83,42.12,1094400,42.12
2011-06-22,43.72,43.83,42.94,42.94,829400,42.94
2011-06-21,42.69,43.70,42.65,43.69,861100,43.69
2011-06-20,42.65,42.82,42.34,42.61,950700,42.61
2011-06-17,43.15,43.78,42.75,43.33,1477400,43.33
2011-06-16,43.21,43.42,42.81,43.33,1283900,43.33
2011-06-15,44.54,44.54,43.46,43.63,1106100,43.63
2011-06-14,44.23,44.81,43.86,44.66,1274000,44.66
2011-06-13,44.33,44.59,43.87,43.90,892300,43.90
2011-06-10,45.60,45.65,44.10,44.26,1444200,44.26
2011-06-09,45.01,45.58,44.84,45.58,974700,45.58
2011-06-08,45.32,45.38,44.85,44.96,1007800,44.96
2011-06-07,45.47,45.93,45.28,45.42,730400,45.42
2011-06-06,45.59,45.79,45.24,45.39,688900,45.39
2011-06-03,45.83,45.94,44.93,45.62,949300,45.62
2011-06-02,46.57,46.65,45.80,45.80,986400,45.80
2011-06-01,48.10,48.17,46.94,47.10,966700,47.10
2011-05-31,47.32,48.22,47.26,47.96,1591600,47.96
2011-05-30,47.10,47.31,46.83,46.97,359000,46.97
2011-05-27,46.58,47.35,46.54,47.12,1118100,47.12
2011-05-26,46.26,46.70,45.87,46.12,865400,46.12
2011-05-25,45.90,46.37,45.80,46.17,793900,46.17
2011-05-24,46.56,46.80,46.17,46.24,1002700,46.24
2011-05-23,47.47,47.77,46.42,46.42,1551600,46.42
2011-05-20,48.01,48.76,47.87,48.10,1562400,48.10
2011-05-19,47.66,48.18,47.08,47.98,1122600,47.98
2011-05-18,47.49,47.88,47.13,47.33,1106600,47.33
2011-05-17,47.12,47.69,46.50,46.56,1093300,46.56
2011-05-16,47.43,47.70,46.90,47.42,1019900,47.42
2011-05-13,46.79,48.32,46.62,47.67,2306600,47.67
2011-05-12,46.05,46.84,46.05,46.65,2030600,46.65
2011-05-11,46.00,46.24,45.51,45.71,884300,45.71
2011-05-10,45.22,46.09,45.03,45.80,1261500,45.80
2011-05-09,45.58,45.96,44.81,45.07,1348000,45.07
2011-05-06,45.17,45.83,45.01,45.67,1061100,45.67
2011-05-05,45.02,46.54,44.76,45.24,2305400,45.24
2011-05-04,46.60,46.97,45.49,45.67,2495600,45.67
2011-05-03,47.35,47.67,47.11,47.40,1134700,47.40
2011-05-02,48.12,48.28,47.44,47.44,584400,47.44
2011-04-29,48.01,48.34,47.56,47.78,822200,47.78
2011-04-28,48.34,48.40,47.85,48.17,967000,48.17
2011-04-27,47.69,48.44,47.46,47.92,1215500,47.92
2011-04-26,46.96,47.69,46.62,47.58,768800,47.58
2011-04-21,47.00,47.92,46.97,47.14,1753300,47.14
2011-04-20,45.50,46.43,45.43,46.41,1072900,46.41
2011-04-19,45.15,45.39,44.99,45.10,762200,45.10
2011-04-18,45.68,45.78,44.83,45.03,1636500,45.03
